frame_id,time,kyphosis,kyphosis_raw,tfl,lean_bias,confidence
0,0.0000,5.597,5.411,-11.830,-11.792,1.0000
1,0.0333,3.280,3.478,-10.805,-11.096,1.0000
2,0.0667,2.074,1.805,-9.856,-9.982,1.0000
3,0.1000,1.981,3.061,-8.981,-8.698,1.0000
4,0.1333,3.001,2.075,-8.181,-7.406,1.0000
5,0.1667,6.245,6.233,-7.356,-6.799,1.0000
6,0.2000,10.274,4.931,-6.703,-9.312,1.0000
7,0.2333,11.784,16.348,-6.467,-5.208,1.0000
8,0.2667,12.346,17.035,-6.401,-5.576,1.0000
9,0.3000,11.103,11.963,-6.362,-6.272,1.0000
10,0.3333,9.062,2.610,-6.516,-7.411,1.0000
11,0.3667,5.558,6.641,-7.680,-7.238,1.0000
12,0.4000,4.775,5.367,-8.031,-7.787,1.0000
13,0.4333,5.653,5.316,-7.861,-8.752,1.0000
14,0.4667,7.598,6.608,-8.037,-8.697,1.0000
15,0.5000,7.613,9.539,-8.598,-7.144,1.0000
16,0.5333,7.298,7.722,-9.296,-7.933,1.0000
17,0.5667,6.692,8.520,-9.806,-11.173,1.0000
18,0.6000,7.589,4.994,-10.119,-10.959,1.0000
19,0.6333,8.968,5.862,-9.933,-10.518,1.0000
20,0.6667,12.299,11.482,-9.009,-8.699,1.0000
23,0.7667,13.927,18.362,-8.342,-7.750,1.0000
24,0.8000,14.169,15.184,-8.649,-7.377,1.0000
25,0.8333,12.947,15.847,-9.169,-9.041,1.0000
26,0.8667,10.183,5.250,-10.139,-11.913,1.0000
27,0.9000,7.618,5.586,-11.132,-11.747,1.0000
28,0.9333,5.618,8.482,-12.233,-10.929,1.0000
29,0.9667,5.346,6.573,-13.486,-12.919,1.0000
30,1.0000,2.269,6.951,-13.342,-14.477,1.0000
31,1.0333,6.136,5.242,-17.731,-16.886,1.0000
32,1.0667,23.735,14.834,-19.005,-18.484,1.0000
33,1.1000,40.469,17.003,-21.139,-17.679,1.0000
34,1.1333,51.423,78.060,-21.462,-32.884,1.0000
35,1.1667,62.146,99.139,-20.946,-11.445,1.0000
36,1.2000,72.637,57.657,-19.590,-25.031,1.0000
37,1.2333,82.898,71.829,-17.395,-15.265,1.0000
